Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Jul 1, 2019;12:00 AM;28.98;28.98;26.97
Jul 1, 2019;1:00 AM;26.23;26.23;25.71
Jul 1, 2019;2:00 AM;25.04;24.26;24.27
Jul 1, 2019;3:00 AM;24.94;21.42;23.91
Jul 1, 2019;4:00 AM;26.04;19.61;23.21
Jul 1, 2019;5:00 AM;27.14;16.27;24.49
Jul 1, 2019;6:00 AM;41.93;23.8;32.51
Jul 1, 2019;7:00 AM;53.1;37.3;36.91
Jul 1, 2019;8:00 AM;52.85;39.66;38.22
Jul 1, 2019;9:00 AM;41.13;41.13;37.75
Jul 1, 2019;10:00 AM;37.57;37.57;34.71
Jul 1, 2019;11:00 AM;32.85;32.85;32.91
Jul 1, 2019;12:00 PM;29.46;29.46;29.92
Jul 1, 2019;1:00 PM;27.39;27.42;28.56
Jul 1, 2019;2:00 PM;27.25;27.29;27.68
Jul 1, 2019;3:00 PM;27;27;26.48
Jul 1, 2019;4:00 PM;26.72;27.03;26.27
Jul 1, 2019;5:00 PM;27.5;27.68;28.59
Jul 1, 2019;6:00 PM;31.03;31.03;32.59
Jul 1, 2019;7:00 PM;36.49;36.49;36.42
Jul 1, 2019;8:00 PM;36.32;36.32;36.53
Jul 1, 2019;9:00 PM;34.93;34.93;32.09
Jul 1, 2019;10:00 PM;37.24;37.46;33.62
Jul 1, 2019;11:00 PM;31.97;31.97;28.91
Jul 2, 2019;12:00 AM;28.9;28.9;28.11
Jul 2, 2019;1:00 AM;26.97;26.97;26.73
Jul 2, 2019;2:00 AM;25.48;25.48;25.12
Jul 2, 2019;3:00 AM;24.75;24.75;23.93
Jul 2, 2019;4:00 AM;24.91;24.91;23.83
Jul 2, 2019;5:00 AM;26.99;26.99;25.59
Jul 2, 2019;6:00 AM;31;31;32.64
Jul 2, 2019;7:00 AM;36.12;36.12;37.12
Jul 2, 2019;8:00 AM;36.1;36.1;38.36
Jul 2, 2019;9:00 AM;33.33;37.11;35.77
Jul 2, 2019;10:00 AM;32.75;37.73;33.99
Jul 2, 2019;11:00 AM;31.8;37.85;32.64
Jul 2, 2019;12:00 PM;29.59;37.27;30.3
Jul 2, 2019;1:00 PM;29.55;36.64;29.49
Jul 2, 2019;2:00 PM;29.52;35.27;29.68
Jul 2, 2019;3:00 PM;29.6;31.57;29.6
Jul 2, 2019;4:00 PM;29.96;29.96;30.49
Jul 2, 2019;5:00 PM;33.05;33.05;33.21
Jul 2, 2019;6:00 PM;38.02;38.02;37.18
Jul 2, 2019;7:00 PM;44;44;38.84
Jul 2, 2019;8:00 PM;50.96;39.21;38.04
Jul 2, 2019;9:00 PM;47.9;37.66;35.98
Jul 2, 2019;10:00 PM;42.14;41.07;37.52
Jul 2, 2019;11:00 PM;37.05;37.05;33.35
Jul 3, 2019;12:00 AM;30.94;30.94;32.2
Jul 3, 2019;1:00 AM;28.07;28.07;30.38
Jul 3, 2019;2:00 AM;27.6;27.6;28.44
Jul 3, 2019;3:00 AM;27.37;23.51;28.06
Jul 3, 2019;4:00 AM;28.01;18.99;28.02
Jul 3, 2019;5:00 AM;29.04;24.25;28.4
Jul 3, 2019;6:00 AM;38.22;29.35;35.06
Jul 3, 2019;7:00 AM;47.6;35.06;36.96
Jul 3, 2019;8:00 AM;46.95;41.93;40.74
Jul 3, 2019;9:00 AM;37.53;37.53;40.13
Jul 3, 2019;10:00 AM;33.68;33.68;38.44
Jul 3, 2019;11:00 AM;33.4;33.4;36.72
Jul 3, 2019;12:00 PM;31.19;31.19;34.76
Jul 3, 2019;1:00 PM;30.14;30.14;33.29
Jul 3, 2019;2:00 PM;30.1;30.1;32.62
Jul 3, 2019;3:00 PM;29.98;29.98;32.18
Jul 3, 2019;4:00 PM;30.08;30.08;32.57
Jul 3, 2019;5:00 PM;33;33;35.08
Jul 3, 2019;6:00 PM;36.49;36.49;36.75
Jul 3, 2019;7:00 PM;43.07;39.71;37.72
Jul 3, 2019;8:00 PM;48.39;35.8;34.16
Jul 3, 2019;9:00 PM;40.07;31.89;30.99
Jul 3, 2019;10:00 PM;37.57;37.57;36.94
Jul 3, 2019;11:00 PM;33.41;33.41;34.01
Jul 4, 2019;12:00 AM;29.93;29.93;29.37
Jul 4, 2019;1:00 AM;28.83;28.83;27.05
Jul 4, 2019;2:00 AM;28.06;24.89;26.37
Jul 4, 2019;3:00 AM;29.06;20.71;26.04
Jul 4, 2019;4:00 AM;29.73;15.76;26.09
Jul 4, 2019;5:00 AM;30.74;19.99;27.85
Jul 4, 2019;6:00 AM;36.99;27.47;29.9
Jul 4, 2019;7:00 AM;44.31;35.51;34.46
Jul 4, 2019;8:00 AM;39.72;39.72;40.17
Jul 4, 2019;9:00 AM;34.77;34.77;36.44
Jul 4, 2019;10:00 AM;31.88;31.88;34.31
Jul 4, 2019;11:00 AM;30.89;30.89;32.75
Jul 4, 2019;12:00 PM;29.73;29.77;30.5
Jul 4, 2019;1:00 PM;29.65;29.65;30.02
Jul 4, 2019;2:00 PM;29.53;29.53;29.98
Jul 4, 2019;3:00 PM;29.64;29.66;30.12
Jul 4, 2019;4:00 PM;29.8;29.8;30.39
Jul 4, 2019;5:00 PM;32.98;32.98;34
Jul 4, 2019;6:00 PM;36.92;36.92;36.54
Jul 4, 2019;7:00 PM;43.58;43.58;40.84
Jul 4, 2019;8:00 PM;44.98;38.23;38.27
Jul 4, 2019;9:00 PM;39.9;36.27;36.08
Jul 4, 2019;10:00 PM;39.06;39.06;36.86
Jul 4, 2019;11:00 PM;34.9;34.9;33.92
Jul 5, 2019;12:00 AM;29.8;29.8;29.5
Jul 5, 2019;1:00 AM;29;29;27.52
Jul 5, 2019;2:00 AM;27.8;27.8;26.47
Jul 5, 2019;3:00 AM;27.64;27.64;25.74
Jul 5, 2019;4:00 AM;27.9;27.9;25.78
Jul 5, 2019;5:00 AM;29.08;29.08;27.58
Jul 5, 2019;6:00 AM;34.62;34.62;33.09
Jul 5, 2019;7:00 AM;42.89;39.27;36.97
Jul 5, 2019;8:00 AM;45.92;43.27;40.65
Jul 5, 2019;9:00 AM;43.4;43.4;39.92
Jul 5, 2019;10:00 AM;38;38;38.01
Jul 5, 2019;11:00 AM;36.6;36.6;35.46
Jul 5, 2019;12:00 PM;33.02;33.02;33.29
Jul 5, 2019;1:00 PM;31.05;31.05;31.46
Jul 5, 2019;2:00 PM;29.68;29.68;30.86
Jul 5, 2019;3:00 PM;29.23;29.23;30.81
Jul 5, 2019;4:00 PM;30.4;30.4;30.66
Jul 5, 2019;5:00 PM;32.97;32.97;33.66
Jul 5, 2019;6:00 PM;35.35;35.35;37.74
Jul 5, 2019;7:00 PM;40.15;38.35;38.1
Jul 5, 2019;8:00 PM;45.86;35.91;37.38
Jul 5, 2019;9:00 PM;45.75;32.96;36.98
Jul 5, 2019;10:00 PM;42.07;39.37;38.3
Jul 5, 2019;11:00 PM;38.09;37.34;37.05
Jul 6, 2019;12:00 AM;37.97;37.97;35.78
Jul 6, 2019;1:00 AM;34.1;34.1;33.16
