time;Germany/Luxembourg[EUR/MWh];France[EUR/MWh];Switzerland[EUR/MWh]
31.12.18 23:00;28.32;51;50.26
01.01.19 00:00;10.07;46.27;48.74
01.01.19 01:00;-4.08;39.78;47.24
01.01.19 02:00;-9.91;27.87;36.29
01.01.19 03:00;-7.41;23.21;30.09
01.01.19 04:00;-12.55;22.64;27.31
01.01.19 05:00;-17.25;20.9;28.53
01.01.19 06:00;-15.07;26.54;26.84
01.01.19 07:00;-4.93;25;28.7
01.01.19 08:00;-6.33;25;35.7
01.01.19 09:00;-4.93;34.64;37.53
01.01.19 10:00;0.45;41.03;38.36
01.01.19 11:00;0.12;48.97;43.95
01.01.19 12:00;-0.02;41.06;43.07
01.01.19 13:00;0;37.95;38.82
01.01.19 14:00;-0.03;33.42;48.02
01.01.19 15:00;1.97;39.8;48.93
01.01.19 16:00;9.06;44.29;50.99
01.01.19 17:00;0.07;62.65;52.79
01.01.19 18:00;-4.97;65.56;55.17
01.01.19 19:00;-6.98;61.27;55.05
01.01.19 20:00;-24.93;57.41;50.7
01.01.19 21:00;-4.87;58.65;55.12
01.01.19 22:00;-28.93;54.91;55.11
01.01.19 23:00;-33.57;53.11;49.97
02.01.19 00:00;-45.92;45.87;48.66
02.01.19 01:00;-48.29;39.15;41.56
02.01.19 02:00;-44.99;25.84;43.07
02.01.19 03:00;-48.93;28.36;38.6
02.01.19 04:00;-29.91;30.72;49.21
02.01.19 05:00;-0.01;51.1;52.54
02.01.19 06:00;37.43;58.37;54.99
02.01.19 07:00;48.06;56.82;60.04
02.01.19 08:00;50.74;57.44;64.83
02.01.19 09:00;47.57;61.09;64.8
02.01.19 10:00;43.94;63.63;64.29
02.01.19 11:00;40.97;62.8;63.44
02.01.19 12:00;44.95;58.65;60.24
02.01.19 13:00;49.64;55.64;59.4
02.01.19 14:00;53.67;56.72;62.01
02.01.19 15:00;56.01;62.19;63.59
02.01.19 16:00;56.95;67.1;68.67
02.01.19 17:00;62.08;69.3;70.12
02.01.19 18:00;62.11;69.25;69.69
02.01.19 19:00;57.99;63.43;66.9
02.01.19 20:00;55.64;55.64;60.94
02.01.19 21:00;55.13;55.97;60.07
02.01.19 22:00;50.76;54.31;58.97
02.01.19 23:00;42.91;47.03;53.03
03.01.19 00:00;45.22;45.93;50.5
03.01.19 01:00;45.63;45.91;48.32
03.01.19 02:00;44;44;45.44
03.01.19 03:00;43.88;43.88;45.49
03.01.19 04:00;45.92;45.92;49.94
03.01.19 05:00;51.07;54.69;54.97
03.01.19 06:00;52.77;66.58;66.88
03.01.19 07:00;62.89;68.03;69.47
03.01.19 08:00;60.03;69.12;69.56
03.01.19 09:00;58.19;69.19;69.63
03.01.19 10:00;62.99;68.01;69.05
03.01.19 11:00;63.52;67.2;68.95
03.01.19 12:00;64.67;66.7;66.62
03.01.19 13:00;65.24;67;66.11
03.01.19 14:00;67.76;68.01;67.78
03.01.19 15:00;68.41;68.99;68.65
03.01.19 16:00;69.55;71.15;71.21
03.01.19 17:00;67.28;73.43;71.79
03.01.19 18:00;69.46;70.55;71.09
03.01.19 19:00;68.38;68.38;69.65
03.01.19 20:00;61.72;61.72;63.02
03.01.19 21:00;53.72;59.84;61.02
03.01.19 22:00;49.98;58.65;57.35
03.01.19 23:00;50.73;55.52;52.59
04.01.19 00:00;47.11;52.91;51.69
04.01.19 01:00;47.07;49.61;49.95
04.01.19 02:00;46.94;47.41;48.41
04.01.19 03:00;47;47;48.12
04.01.19 04:00;46.91;47.78;50.33
04.01.19 05:00;49.59;59.54;54.03
04.01.19 06:00;55.32;68.4;65.95
04.01.19 07:00;55.78;69.71;69.92
04.01.19 08:00;55.52;71.86;70
04.01.19 09:00;55.23;71.58;69.93
04.01.19 10:00;53.58;70.16;69.92
04.01.19 11:00;51.74;70.16;69.37
04.01.19 12:00;51.6;69.17;69.04
04.01.19 13:00;51.41;69.15;67.64
04.01.19 14:00;51.69;68.4;68.3
04.01.19 15:00;52.59;68.4;69.39
04.01.19 16:00;54.66;73.18;71.58
04.01.19 17:00;54.1;77.23;72.19
04.01.19 18:00;51.89;75.97;69.98
04.01.19 19:00;46.58;70.2;69.76
04.01.19 20:00;45.43;68.71;64.66
04.01.19 21:00;43.96;68.68;64.74
04.01.19 22:00;31.41;67.51;60.7
04.01.19 23:00;26.9;71.68;63.06
05.01.19 00:00;25.12;63.74;58.48
05.01.19 01:00;24.12;60;54.73
05.01.19 02:00;22.04;55.84;52.53
05.01.19 03:00;18.37;53.48;51.58
05.01.19 04:00;22.09;53.34;52.52
05.01.19 05:00;23.35;52.57;52.94
05.01.19 06:00;28.76;55.67;54.07
05.01.19 07:00;36.63;60.79;60.32
05.01.19 08:00;40.46;66.92;65.05
05.01.19 09:00;45.85;69.12;65.08
05.01.19 10:00;49.8;68.25;64.8
05.01.19 11:00;51.36;67.67;63.4
05.01.19 12:00;51.74;64;60.07
05.01.19 13:00;51.92;61.57;58.06
05.01.19 14:00;53.22;59.4;57.95
05.01.19 15:00;56.62;58.31;58.85
05.01.19 16:00;56.92;67.2;66.13
05.01.19 17:00;61.64;69;68.09
05.01.19 18:00;59.44;68.71;68.01
05.01.19 19:00;52.75;68.07;66.41
05.01.19 20:00;51.9;60.05;59.9
05.01.19 21:00;51.38;65.76;61.13
05.01.19 22:00;49.96;62.8;61.12
05.01.19 23:00;50.29;60.9;62.94
06.01.19 00:00;47.72;53.78;58.94
06.01.19 01:00;48.38;51.43;54.74
06.01.19 02:00;48.02;48.02;50.55
06.01.19 03:00;44.23;48.37;49.85
06.01.19 04:00;47.17;47.17;48.13
06.01.19 05:00;48.19;48.19;51.52
06.01.19 06:00;49.11;49.11;54.35
06.01.19 07:00;50.44;51.06;55.06
06.01.19 08:00;53.4;53.4;57.53
06.01.19 09:00;56.55;56.55;62.05
06.01.19 10:00;60.02;60.02;62.65
06.01.19 11:00;60.22;60.22;63.72
06.01.19 12:00;55;55;60.95
06.01.19 13:00;52.39;52.39;57.23
06.01.19 14:00;51.57;51.57;55.98
06.01.19 15:00;54.71;54.71;59.05
06.01.19 16:00;63.43;63.43;64.6
06.01.19 17:00;67.37;67.37;67.7
06.01.19 18:00;67.2;67.2;67.29
06.01.19 19:00;66.03;66.03;67.04
06.01.19 20:00;55.36;55.36;61.24
06.01.19 21:00;58.59;58.59;63.25
06.01.19 22:00;53.7;54.86;61.07
06.01.19 23:00;46.03;58.15;52.94
07.01.19 00:00;47.98;51.86;51.23
07.01.19 01:00;47.84;47.84;47.74
07.01.19 02:00;46.11;46.11;46.64
07.01.19 03:00;46.08;46.08;46.84
07.01.19 04:00;47.62;47.62;49.89
07.01.19 05:00;55.77;55.77;59.14
07.01.19 06:00;68.61;68.61;71.19
07.01.19 07:00;74.15;74.15;74
07.01.19 08:00;74.93;74.93;74.91
07.01.19 09:00;73.59;73.59;75.48
07.01.19 10:00;71.23;71.23;75.03
07.01.19 11:00;68.79;70;72.42
07.01.19 12:00;66.75;68.74;70.4
07.01.19 13:00;62.47;66.62;68.85
07.01.19 14:00;53.25;64.99;68.23
07.01.19 15:00;53.26;62.67;68.46
07.01.19 16:00;53.42;67.04;69.97
07.01.19 17:00;47.91;70.39;71.31
07.01.19 18:00;42.05;70.33;70.67
07.01.19 19:00;40.96;69;69.1
07.01.19 20:00;32.04;62.37;64.04
07.01.19 21:00;20.82;62.3;62.02
07.01.19 22:00;1.84;56.42;60.96
07.01.19 23:00;17.94;52.29;51.08
08.01.19 00:00;20.91;42.01;46.27
08.01.19 01:00;7.78;42.57;45.57
08.01.19 02:00;14.33;29.4;43.77
08.01.19 03:00;18.56;27.4;42.54
08.01.19 04:00;18.57;39.27;46.36
08.01.19 05:00;35.81;51.85;52.9
08.01.19 06:00;43.87;65.82;64.5
08.01.19 07:00;46.93;67.2;66.78
08.01.19 08:00;43.88;68.16;68.05
08.01.19 09:00;43.85;68.53;67.13
08.01.19 10:00;46.74;68.15;67
08.01.19 11:00;43.94;67.95;64.31
08.01.19 12:00;43.21;67.97;64.31
08.01.19 13:00;43.81;65.48;63.71
08.01.19 14:00;45.6;63.13;63.08
08.01.19 15:00;35.21;59.99;61.82
08.01.19 16:00;45.64;67.25;65.13
