;Price CH;Price DE-LU;Price FR
2020-04-14 00:00:00;8.04;3.79;10.0
2020-04-14 01:00:00;7.41;4.4;8.23
2020-04-14 02:00:00;8.05;3.9;7.92
2020-04-14 03:00:00;8.6;3.96;6.76
2020-04-14 04:00:00;10.02;4.6;7.38
2020-04-14 05:00:00;13.32;15.88;8.96
2020-04-14 06:00:00;23.66;25.24;14.01
2020-04-14 07:00:00;24.7;32.74;18.76
2020-04-14 08:00:00;24.73;31.14;21.13
2020-04-14 09:00:00;23.73;23.68;17.45
2020-04-14 10:00:00;21.05;21.86;12.1
2020-04-14 11:00:00;18.37;19.73;11.76
2020-04-14 12:00:00;16.17;17.13;17.13
2020-04-14 13:00:00;15.52;16.12;11.6
2020-04-14 14:00:00;14.31;13.54;13.54
2020-04-14 15:00:00;15.41;15.03;0.0
2020-04-14 16:00:00;18.22;19.1;0.02
2020-04-14 17:00:00;22.5;23.15;3.72
2020-04-14 18:00:00;25.83;26.82;10.76
2020-04-14 19:00:00;26.06;33.38;17.82
2020-04-14 20:00:00;27.66;39.91;14.08
2020-04-14 21:00:00;27.76;31.45;14.45
2020-04-14 22:00:00;25.39;26.77;19.88
2020-04-14 23:00:00;22.16;24.28;20.69
2020-04-15 00:00:00;20.63;19.87;19.87
2020-04-15 01:00:00;19.05;17.08;17.08
2020-04-15 02:00:00;17.5;17.0;16.01
2020-04-15 03:00:00;17.19;16.37;14.89
2020-04-15 04:00:00;17.28;16.57;11.94
2020-04-15 05:00:00;19.94;19.1;12.61
2020-04-15 06:00:00;25.08;25.15;14.24
2020-04-15 07:00:00;26.16;26.09;15.34
2020-04-15 08:00:00;26.4;24.99;16.9
2020-04-15 09:00:00;19.9;21.2;16.7
2020-04-15 10:00:00;16.05;14.29;14.29
2020-04-15 11:00:00;12.6;14.16;14.16
2020-04-15 12:00:00;11.23;8.07;12.26
2020-04-15 13:00:00;9.07;8.0;8.0
2020-04-15 14:00:00;7.93;4.46;6.36
2020-04-15 15:00:00;7.65;8.05;8.05
2020-04-15 16:00:00;9.76;12.13;12.13
2020-04-15 17:00:00;20.57;21.85;12.19
2020-04-15 18:00:00;25.7;27.34;14.47
2020-04-15 19:00:00;26.19;37.84;17.01
2020-04-15 20:00:00;27.59;41.91;18.01
2020-04-15 21:00:00;27.08;31.34;16.93
2020-04-15 22:00:00;26.01;26.25;19.74
2020-04-15 23:00:00;23.39;24.99;18.27
2020-04-16 00:00:00;20.63;19.87;19.87
2020-04-16 01:00:00;19.05;17.08;17.08
2020-04-16 02:00:00;17.5;17.0;16.01
2020-04-16 03:00:00;17.19;16.37;14.89
2020-04-16 04:00:00;17.28;16.57;11.94
2020-04-16 05:00:00;19.94;19.1;12.61
2020-04-16 06:00:00;25.08;25.15;14.24
2020-04-16 07:00:00;26.16;26.09;15.34
2020-04-16 08:00:00;26.4;24.99;16.9
2020-04-16 09:00:00;19.9;21.2;16.7
2020-04-16 10:00:00;16.05;14.29;14.29
2020-04-16 11:00:00;12.6;14.16;14.16
2020-04-16 12:00:00;11.23;8.07;12.26
2020-04-16 13:00:00;9.07;8.0;8.0
2020-04-16 14:00:00;7.93;4.46;6.36
2020-04-16 15:00:00;7.65;8.05;8.05
2020-04-16 16:00:00;9.76;12.13;12.13
2020-04-16 17:00:00;20.57;21.85;12.19
2020-04-16 18:00:00;25.7;27.34;14.47
2020-04-16 19:00:00;26.19;37.84;17.01
2020-04-16 20:00:00;27.59;41.91;18.01
2020-04-16 21:00:00;27.08;31.34;16.93
2020-04-16 22:00:00;26.01;26.25;19.74
2020-04-16 23:00:00;23.39;24.99;18.27
2020-04-17 00:00:00;22.02;22.08;15.22
2020-04-17 01:00:00;21.09;21.58;13.4
2020-04-17 02:00:00;21.04;21.06;12.39
2020-04-17 03:00:00;21.25;21.99;10.22
2020-04-17 04:00:00;21.7;22.44;9.55
2020-04-17 05:00:00;24.03;24.41;10.18
2020-04-17 06:00:00;26.57;32.93;11.84
2020-04-17 07:00:00;26.08;47.84;12.0
2020-04-17 08:00:00;25.95;44.81;12.17
2020-04-17 09:00:00;25.09;26.41;15.0
2020-04-17 10:00:00;22.67;24.9;14.91
2020-04-17 11:00:00;21.81;23.87;15.48
2020-04-17 12:00:00;20.05;20.44;16.05
2020-04-17 13:00:00;18.33;18.07;15.61
2020-04-17 14:00:00;18.09;18.54;14.0
2020-04-17 15:00:00;18.51;21.87;11.93
2020-04-17 16:00:00;20.53;21.75;11.51
2020-04-17 17:00:00;23.82;25.15;11.81
2020-04-17 18:00:00;26.42;36.76;13.93
2020-04-17 19:00:00;26.45;48.75;15.55
2020-04-17 20:00:00;27.0;42.77;14.82
2020-04-17 21:00:00;27.26;32.38;17.71
2020-04-17 22:00:00;23.7;24.92;21.47
2020-04-17 23:00:00;20.12;20.76;20.76
2020-04-18 00:00:00;22.05;22.1;22.1
2020-04-18 01:00:00;21.9;20.13;18.15
2020-04-18 02:00:00;21.47;18.78;15.86
2020-04-18 03:00:00;21.06;18.1;16.24
2020-04-18 04:00:00;20.22;18.55;10.06
2020-04-18 05:00:00;20.71;19.07;9.89
2020-04-18 06:00:00;21.16;21.62;14.21
2020-04-18 07:00:00;22.02;23.82;14.63
2020-04-18 08:00:00;22.55;23.87;16.29
2020-04-18 09:00:00;21.75;24.33;14.2
2020-04-18 10:00:00;18.04;17.3;15.23
2020-04-18 11:00:00;15.94;16.63;16.63
2020-04-18 12:00:00;14.84;16.8;16.8
2020-04-18 13:00:00;12.5;12.84;12.84
2020-04-18 14:00:00;10.43;12.32;12.32
2020-04-18 15:00:00;11.45;12.77;12.77
2020-04-18 16:00:00;14.88;15.05;13.74
2020-04-18 17:00:00;18.77;24.13;10.35
2020-04-18 18:00:00;23.92;25.99;12.98
2020-04-18 19:00:00;23.98;29.42;14.59
2020-04-18 20:00:00;24.46;28.66;14.86
2020-04-18 21:00:00;22.82;23.81;19.31
2020-04-18 22:00:00;22.31;21.16;21.16
2020-04-18 23:00:00;19.31;18.38;18.8
2020-04-19 00:00:00;;;
2020-04-19 01:00:00;;;
2020-04-19 02:00:00;;;
2020-04-19 03:00:00;;;
2020-04-19 04:00:00;;;
2020-04-19 05:00:00;;;
2020-04-19 06:00:00;;;
2020-04-19 07:00:00;;;
2020-04-19 08:00:00;;;
2020-04-19 09:00:00;;;
2020-04-19 10:00:00;;;
2020-04-19 11:00:00;;;
2020-04-19 12:00:00;;;
2020-04-19 13:00:00;;;
2020-04-19 14:00:00;;;
2020-04-19 15:00:00;;;
2020-04-19 16:00:00;;;
2020-04-19 17:00:00;;;
2020-04-19 18:00:00;;;
2020-04-19 19:00:00;;;
2020-04-19 20:00:00;;;
2020-04-19 21:00:00;;;
2020-04-19 22:00:00;;;
2020-04-19 23:00:00;;;
2020-04-20 00:00:00;8.47;4.43;4.43
2020-04-20 01:00:00;6.49;4.38;4.38
2020-04-20 02:00:00;4.67;3.69;3.69
2020-04-20 03:00:00;3.98;0.66;0.66
2020-04-20 04:00:00;4.17;0.03;0.03
2020-04-20 05:00:00;9.02;4.78;4.77
2020-04-20 06:00:00;18.94;18.0;9.16
2020-04-20 07:00:00;22.37;22.82;12.77
2020-04-20 08:00:00;21.94;22.93;15.0
2020-04-20 09:00:00;14.94;16.07;13.97
2020-04-20 10:00:00;13.52;11.72;12.02
2020-04-20 11:00:00;13.5;5.46;6.91
2020-04-20 12:00:00;9.08;-4.98;1.54
2020-04-20 13:00:00;6.24;-29.7;-0.09
2020-04-20 14:00:00;0.79;-44.25;-22.96
2020-04-20 15:00:00;0.02;-39.49;-23.12
2020-04-20 16:00:00;1.01;-23.71;-14.63
2020-04-20 17:00:00;12.84;4.01;4.01
2020-04-20 18:00:00;15.13;16.38;14.23
2020-04-20 19:00:00;20.41;17.81;15.02
2020-04-20 20:00:00;21.6;18.38;15.81
2020-04-20 21:00:00;18.67;14.05;14.05
2020-04-20 22:00:00;15.0;10.28;13.39
2020-04-20 23:00:00;13.19;4.85;7.9
2020-04-21 00:00:00;4.72;4.65;6.31
2020-04-21 01:00:00;4.29;4.31;4.35
2020-04-21 02:00:00;1.28;3.69;3.73
2020-04-21 03:00:00;-1.89;-0.59;0.04
2020-04-21 04:00:00;-0.61;3.72;3.72
2020-04-21 05:00:00;8.28;4.73;4.73
2020-04-21 06:00:00;13.68;10.0;9.8
2020-04-21 07:00:00;17.28;16.13;11.43
2020-04-21 08:00:00;17.03;16.52;11.17
2020-04-21 09:00:00;14.68;7.92;8.33
2020-04-21 10:00:00;13.24;-19.21;-8.65
2020-04-21 11:00:00;14.69;-69.05;-3.33
2020-04-21 12:00:00;12.94;-79.74;0.01
2020-04-21 13:00:00;13.5;-80.09;-0.92
2020-04-21 14:00:00;13.92;-83.94;-3.99
2020-04-21 15:00:00;8.62;-80.02;-8.44
2020-04-21 16:00:00;9.9;-78.09;-0.09
2020-04-21 17:00:00;11.5;-23.12;0.07
2020-04-21 18:00:00;13.86;5.53;8.0
2020-04-21 19:00:00;15.2;10.99;10.99
2020-04-21 20:00:00;16.46;10.99;10.99
2020-04-21 21:00:00;13.01;11.17;11.17
2020-04-21 22:00:00;13.69;7.6;10.99
2020-04-21 23:00:00;9.07;8.31;9.99
2020-04-22 00:00:00;8.08;4.39;4.64
2020-04-22 01:00:00;6.85;4.12;4.12
2020-04-22 02:00:00;6.42;3.5;3.5
2020-04-22 03:00:00;5.87;4.14;4.14
2020-04-22 04:00:00;7.33;4.57;4.57
2020-04-22 05:00:00;8.27;6.0;6.0
2020-04-22 06:00:00;16.69;14.92;8.0
2020-04-22 07:00:00;20.67;23.39;8.49
2020-04-22 08:00:00;21.0;19.81;11.64
2020-04-22 09:00:00;15.07;10.57;10.57
2020-04-22 10:00:00;9.09;6.77;6.77
2020-04-22 11:00:00;6.74;6.1;6.1
2020-04-22 12:00:00;6.68;-0.56;5.62
2020-04-22 13:00:00;4.67;-24.97;3.14
2020-04-22 14:00:00;0.94;-29.98;-5.72
2020-04-22 15:00:00;1.62;-5.76;-0.78
2020-04-22 16:00:00;5.82;4.07;4.07
2020-04-22 17:00:00;11.16;8.59;8.59
2020-04-22 18:00:00;19.47;18.05;12.14
2020-04-22 19:00:00;22.37;24.57;18.85
2020-04-22 20:00:00;23.19;25.54;20.03
