Date;Time of day;Germany/Luxembourg[€/MWh];France[€/MWh];Switzerland[€/MWh]
Jan 1, 2019;12:00 AM;28.32;51;50.26
Jan 1, 2019;1:00 AM;10.07;46.27;48.74
Jan 1, 2019;2:00 AM;-4.08;39.78;47.24
Jan 1, 2019;3:00 AM;-9.91;27.87;36.29
Jan 1, 2019;4:00 AM;-7.41;23.21;30.09
Jan 1, 2019;5:00 AM;-12.55;22.64;27.31
Jan 1, 2019;6:00 AM;-17.25;20.9;28.53
Jan 1, 2019;7:00 AM;-15.07;26.54;26.84
Jan 1, 2019;8:00 AM;-4.93;25;28.7
Jan 1, 2019;9:00 AM;-6.33;25;35.7
Jan 1, 2019;10:00 AM;-4.93;34.64;37.53
Jan 1, 2019;11:00 AM;0.45;41.03;38.36
Jan 1, 2019;12:00 PM;0.12;48.97;43.95
Jan 1, 2019;1:00 PM;-0.02;41.06;43.07
Jan 1, 2019;2:00 PM;0;37.95;38.82
Jan 1, 2019;3:00 PM;-0.03;33.42;48.02
Jan 1, 2019;4:00 PM;1.97;39.8;48.93
Jan 1, 2019;5:00 PM;9.06;44.29;50.99
Jan 1, 2019;6:00 PM;0.07;62.65;52.79
Jan 1, 2019;7:00 PM;-4.97;65.56;55.17
Jan 1, 2019;8:00 PM;-6.98;61.27;55.05
Jan 1, 2019;9:00 PM;-24.93;57.41;50.7
Jan 1, 2019;10:00 PM;-4.87;58.65;55.12
Jan 1, 2019;11:00 PM;-28.93;54.91;55.11
Jan 2, 2019;12:00 AM;-33.57;53.11;49.97
Jan 2, 2019;1:00 AM;-45.92;45.87;48.66
Jan 2, 2019;2:00 AM;-48.29;39.15;41.56
Jan 2, 2019;3:00 AM;-44.99;25.84;43.07
Jan 2, 2019;4:00 AM;-48.93;28.36;38.6
Jan 2, 2019;5:00 AM;-29.91;30.72;49.21
Jan 2, 2019;6:00 AM;-0.01;51.1;52.54
Jan 2, 2019;7:00 AM;37.43;58.37;54.99
Jan 2, 2019;8:00 AM;48.06;56.82;60.04
Jan 2, 2019;9:00 AM;50.74;57.44;64.83
Jan 2, 2019;10:00 AM;47.57;61.09;64.8
Jan 2, 2019;11:00 AM;43.94;63.63;64.29
Jan 2, 2019;12:00 PM;40.97;62.8;63.44
Jan 2, 2019;1:00 PM;44.95;58.65;60.24
Jan 2, 2019;2:00 PM;49.64;55.64;59.4
Jan 2, 2019;3:00 PM;53.67;56.72;62.01
Jan 2, 2019;4:00 PM;56.01;62.19;63.59
Jan 2, 2019;5:00 PM;56.95;67.1;68.67
Jan 2, 2019;6:00 PM;62.08;69.3;70.12
Jan 2, 2019;7:00 PM;62.11;69.25;69.69
Jan 2, 2019;8:00 PM;57.99;63.43;66.9
Jan 2, 2019;9:00 PM;55.64;55.64;60.94
Jan 2, 2019;10:00 PM;55.13;55.97;60.07
Jan 2, 2019;11:00 PM;50.76;54.31;58.97
Jan 3, 2019;12:00 AM;42.91;47.03;53.03
Jan 3, 2019;1:00 AM;45.22;45.93;50.5
Jan 3, 2019;2:00 AM;45.63;45.91;48.32
Jan 3, 2019;3:00 AM;44;44;45.44
Jan 3, 2019;4:00 AM;43.88;43.88;45.49
Jan 3, 2019;5:00 AM;45.92;45.92;49.94
Jan 3, 2019;6:00 AM;51.07;54.69;54.97
Jan 3, 2019;7:00 AM;52.77;66.58;66.88
Jan 3, 2019;8:00 AM;62.89;68.03;69.47
Jan 3, 2019;9:00 AM;60.03;69.12;69.56
Jan 3, 2019;10:00 AM;58.19;69.19;69.63
Jan 3, 2019;11:00 AM;62.99;68.01;69.05
Jan 3, 2019;12:00 PM;63.52;67.2;68.95
Jan 3, 2019;1:00 PM;64.67;66.7;66.62
Jan 3, 2019;2:00 PM;65.24;67;66.11
Jan 3, 2019;3:00 PM;67.76;68.01;67.78
Jan 3, 2019;4:00 PM;68.41;68.99;68.65
Jan 3, 2019;5:00 PM;69.55;71.15;71.21
Jan 3, 2019;6:00 PM;67.28;73.43;71.79
Jan 3, 2019;7:00 PM;69.46;70.55;71.09
Jan 3, 2019;8:00 PM;68.38;68.38;69.65
Jan 3, 2019;9:00 PM;61.72;61.72;63.02
Jan 3, 2019;10:00 PM;53.72;59.84;61.02
Jan 3, 2019;11:00 PM;49.98;58.65;57.35
Jan 4, 2019;12:00 AM;50.73;55.52;52.59
Jan 4, 2019;1:00 AM;47.11;52.91;51.69
Jan 4, 2019;2:00 AM;47.07;49.61;49.95
Jan 4, 2019;3:00 AM;46.94;47.41;48.41
Jan 4, 2019;4:00 AM;47;47;48.12
Jan 4, 2019;5:00 AM;46.91;47.78;50.33
Jan 4, 2019;6:00 AM;49.59;59.54;54.03
Jan 4, 2019;7:00 AM;55.32;68.4;65.95
Jan 4, 2019;8:00 AM;55.78;69.71;69.92
Jan 4, 2019;9:00 AM;55.52;71.86;70
Jan 4, 2019;10:00 AM;55.23;71.58;69.93
Jan 4, 2019;11:00 AM;53.58;70.16;69.92
Jan 4, 2019;12:00 PM;51.74;70.16;69.37
Jan 4, 2019;1:00 PM;51.6;69.17;69.04
Jan 4, 2019;2:00 PM;51.41;69.15;67.64
Jan 4, 2019;3:00 PM;51.69;68.4;68.3
Jan 4, 2019;4:00 PM;52.59;68.4;69.39
Jan 4, 2019;5:00 PM;54.66;73.18;71.58
Jan 4, 2019;6:00 PM;54.1;77.23;72.19
Jan 4, 2019;7:00 PM;51.89;75.97;69.98
Jan 4, 2019;8:00 PM;46.58;70.2;69.76
Jan 4, 2019;9:00 PM;45.43;68.71;64.66
Jan 4, 2019;10:00 PM;43.96;68.68;64.74
Jan 4, 2019;11:00 PM;31.41;67.51;60.7
Jan 5, 2019;12:00 AM;26.9;71.68;63.06
Jan 5, 2019;1:00 AM;25.12;63.74;58.48
Jan 5, 2019;2:00 AM;24.12;60;54.73
Jan 5, 2019;3:00 AM;22.04;55.84;52.53
Jan 5, 2019;4:00 AM;18.37;53.48;51.58
Jan 5, 2019;5:00 AM;22.09;53.34;52.52
Jan 5, 2019;6:00 AM;23.35;52.57;52.94
Jan 5, 2019;7:00 AM;28.76;55.67;54.07
Jan 5, 2019;8:00 AM;36.63;60.79;60.32
Jan 5, 2019;9:00 AM;40.46;66.92;65.05
Jan 5, 2019;10:00 AM;45.85;69.12;65.08
Jan 5, 2019;11:00 AM;49.8;68.25;64.8
Jan 5, 2019;12:00 PM;51.36;67.67;63.4
Jan 5, 2019;1:00 PM;51.74;64;60.07
Jan 5, 2019;2:00 PM;51.92;61.57;58.06
Jan 5, 2019;3:00 PM;53.22;59.4;57.95
Jan 5, 2019;4:00 PM;56.62;58.31;58.85
Jan 5, 2019;5:00 PM;56.92;67.2;66.13
Jan 5, 2019;6:00 PM;61.64;69;68.09
Jan 5, 2019;7:00 PM;59.44;68.71;68.01
Jan 5, 2019;8:00 PM;52.75;68.07;66.41
Jan 5, 2019;9:00 PM;51.9;60.05;59.9
